; these first lines are to supplement where the script cannot find the name of the item
00000000|Fertilizer Producer
00000000|Neon Sign - Open
00000000|Woodplank Escalator
00000000|Weenie Wagon
00000000|Motorized Butter Churn
00011473|Classic Jack O' Lantern
00011474|Vault-Tec Jack O' Lantern
00011475|Vault Boy Jack O' Lantern
00011476|Vault Door Jack O' Lantern
00011477|Surprised Jack O' Lantern
00011478|Alien Jack O' Lantern
00011479|Mobster Jack O' Lantern
0001147A|Happy Jack O' Lantern
0001147B|Practice Jack O' Lantern
0001147C|Evil Jack O' Lantern
00578647|Vintage Halloween Decor Bat
00578648|Vintage Halloween Decor Cat
00578644|Vintage Halloween Decor Pumpkin
00578645|Vintage Halloween Decor Skeleton
00578646|Vintage Halloween Decor Skull
005A3CAB|Raider Metal Totem
005A3CAC|Raider Metal Totem
005A3CAD|Raider Metal Totem
005A3CAE|Raider Metal Totem
005A3CAF|Raider Metal Totem
005A3CA8|Raider Metal Bazier
005A3CA9|Raider Metal Bazier
005A3CAA|Raider Metal Bazier
00000000|"Glow of the Ghoul" Movie Projector
00000000|Abandoned Outpost
00000000|Accordion
00000000|Acid Extractor
00000000|Adelaide's Table
00000000|Alarm Clock
00000000|Alien Crate
00000000|Alien Table
00000000|Alphorn with Mannequin
00000000|AmmoPoints Ammo Converter
00000000|Animatronic Clown
00000000|Antler Chandelier
00000000|Appalachian Contessa
00000000|Applause Sign
00000000|Aquarium Pillar
00000000|Aquarium Whale Display
00000000|ArmCo Ammunition Construction Appliance
00000000|Armor Rack
00000000|Artillery Piece
00000000|Ashtray
00000000|Asteroid
00000000|Atlantic City Casino Counter
00000000|Atlantic City Dice Table
00000000|Atlantic City Roulette Table
00000000|Atlantic Emblem
00000000|Atomic Bomb Statue
00000000|Atomic Cowboy Ride
00000000|Backpack Display
00000000|Balloon Arch
00000000|Bandit Roundup
00000000|Barn
00000000|Barren Elm Tree
00000000|Basketball Hoop
00000000|Bathroom Hook
00000000|Bathroom Urinal
00000000|Bathtub
00000000|Bear-Proof Trashcan
00000000|Beckett's Bar
00000000|Beeswax Candle
00000000|Beggar's Mat
00000000|Beware of Deathclaw Sign
00000000|Bicycle
00000000|Big Fred's Trailer
00000000|Billboard Frame
00000000|Birthday Banner
00000000|Blacksmith Sign
00000000|Blood Eagle Nest
00000000|Blood Eagle Totem
00000000|Blood Punch Bowl
00000000|Blood Transfusion Pump
00000000|Bloody Rug
00000000|Blue Devil Statue
00000000|Blue Nuka-Cola Vending Machine
00000000|Blue Ridge Caravan Flag
00000000|Blue Ridge Rug
00000000|Blue Ridge Themed Stash Box
00000000|Blue Ridge Toy Truck
00000000|Bombay Cat Bed
00000000|Bone Shelf
00000000|Boney Arm Sconce
00000000|Bookcase
00000000|BoS Armory
00000000|BOS Medallion
00000000|BoS Standing Banner
00000000|Bottle Balloon
00000000|Bottle Blaster
00000000|Bottle Bot
00000000|Boxing Gloves
00000000|Brahmin Corpse
00000000|Brahmin Couch
00000000|Brahmin Skin Rug
00000000|Bramble
00000000|Broken G.E.C.K. Machine
00000000|Brotherhood of Steel Field Station
00000000|Brotherhood of Steel Roundtable
00000000|Brotherhood of Steel Scouting Tower
00000000|Bubble Ceiling Turret
00000000|Bubble Floor Turret
00000000|Bubble Wall Turret
00000000|Bullet Mirror
00000000|Bulletin Board
00000000|Buoy
00000000|Bureau
00000000|Busted Radio
00000000|Butcher Cutting Board
00000000|Camp Counselor Tent
00000000|Candle Haus
00000000|Candle Haus Door
00000000|Canopy Tent
00000000|Cappy and Bottle Couple Wall Sign
00000000|Cappy Balloon
00000000|Cappy Clapper
00000000|Cardinal Bird Bath
00000000|Carrot
00000000|Cartography Table
00000000|Casino Floor Statue
00000000|Cassidy's Favorite Painting
00000000|Cauldron Hot Tub
00000000|Ceiling Shackled Skeleton
00000000|Ceremonial Cannon
00000000|Charleston Fire Station
00000000|Chemistry Set
00000000|Chessboard Display
00000000|Chum Trough
